iter	Passed	Remaining
630	3169	1853
631	3174	1848
632	3179	1843
633	3183	1837
634	3188	1832
635	3192	1827
636	3198	1822
637	3203	1817
638	3208	1812
639	3213	1807
640	3218	1802
641	3223	1797
642	3228	1792
643	3232	1787
644	3238	1782
645	3243	1777
646	3248	1772
647	3253	1767
648	3257	1761
649	3263	1757
650	3267	1751
651	3273	1747
652	3278	1742
653	3283	1737
654	3287	1731
655	3292	1726
656	3297	1721
657	3302	1716
658	3308	1711
659	3313	1706
660	3317	1701
661	3321	1695
662	3326	1690
663	3331	1685
664	3335	1680
665	3340	1675
666	3345	1670
667	3350	1665
668	3355	1660
669	3361	1655
670	3366	1650
671	3370	1645
672	3375	1640
673	3380	1635
674	3385	1629
675	3390	1624
676	3394	1619
677	3399	1614
678	3405	1609
679	3410	1604
680	3415	1599
681	3420	1594
682	3425	1589
683	3429	1584
684	3434	1579
685	3440	1574
686	3445	1569
687	3450	1564
688	3455	1559
689	3460	1554
690	3464	1549
691	3470	1544
692	3475	1539
693	3480	1534
694	3486	1529
695	3491	1524
696	3495	1519
697	3500	1514
698	3505	1509
699	3510	1504
700	3516	1499
701	3521	1494
702	3526	1489
703	3530	1484
704	3536	1479
705	3541	1474
706	3546	1469
707	3551	1464
708	3556	1459
709	3560	1454
710	3565	1449
711	3570	1444
712	3576	1439
713	3581	1434
714	3586	1429
715	3590	1424
716	3595	1419
717	3600	1414
718	3605	1409
719	3610	1404
720	3616	1399
721	3620	1394
722	3625	1388
723	3629	1383
724	3635	1378
725	3640	1373
726	3645	1369
727	3650	1364
728	3655	1358
729	3660	1353
730	3666	1349
731	3670	1344
732	3675	1338
733	3681	1334
734	3686	1329
735	3690	1323
736	3696	1319
737	3701	1314
738	3707	1309
739	3713	1304
740	3718	1299
741	3723	1294
742	3728	1289
743	3733	1284
744	3738	1279
745	3743	1274
746	3748	1269
747	3754	1264
748	3760	1260
749	3765	1255
750	3770	1249
751	3775	1245
752	3779	1239
753	3785	1235
754	3790	1230
755	3795	1225
756	3800	1220
757	3805	1214
758	3810	1209
759	3814	1204
760	3820	1199
761	3825	1194
762	3831	1190
763	3837	1185
764	3842	1180
765	3847	1175
766	3851	1170
767	3856	1164
768	3861	1159
769	3866	1154
770	3871	1150
771	3877	1145
772	3881	1139
773	3886	1134
774	3891	1129
775	3896	1124
776	3902	1119
777	3906	1114
778	3911	1109
779	3916	1104
780	3920	1099
781	3925	1094
782	3931	1089
783	3936	1084
784	3941	1079
785	3945	1074
786	3950	1069
787	3955	1064
788	3960	1059
789	3966	1054
790	3971	1049
791	3976	1044
792	3981	1039
793	3986	1034
794	3991	1029
795	3996	1024
796	4001	1019
797	4005	1014
798	4010	1008
799	4015	1003
800	4021	999
801	4026	994
802	4032	989
803	4037	984
804	4042	979
805	4046	973
806	4051	968
807	4056	963
808	4061	958
809	4066	953
810	4071	948
811	4076	943
812	4081	938
813	4086	933
814	4091	928
815	4096	923
816	4102	918
817	4106	913
818	4111	908
819	4116	903
820	4121	898
821	4126	893
822	4131	888
823	4136	883
824	4141	878
825	4146	873
826	4151	868
827	4156	863
828	4161	858
829	4166	853
830	4170	848
831	4175	843
832	4181	838
833	4186	833
834	4191	828
835	4196	823
836	4200	818
837	4205	813
838	4210	808
839	4215	802
840	4220	798
841	4225	792
842	4230	787
843	4235	782
844	4240	777
845	4246	772
846	4251	767
847	4256	762
848	4261	757
849	4266	752
850	4271	747
851	4276	742
852	4281	737
853	4286	732
854	4292	727
855	4296	722
856	4301	717
857	4307	712
858	4312	707
859	4317	702
860	4322	697
861	4327	692
862	4331	687
863	4336	682
864	4342	677
865	4346	672
866	4351	667
867	4357	662
868	4362	657
869	4366	652
